week,change,product
1,100,Paracetamol
2,97,Paracetamol
3,98,Paracetamol
4,99,Paracetamol
5,100,Paracetamol
6,104,Paracetamol
7,102,Paracetamol
8,103,Paracetamol
9,102,Paracetamol
10,103,Paracetamol
1,100,Toilet Roll
2,100.5,Toilet Roll
3,101,Toilet Roll
4,102,Toilet Roll
5,101,Toilet Roll
6,101.5,Toilet Roll
7,102,Toilet Roll
8,101,Toilet Roll
9,102,Toilet Roll
10,101,Toilet Roll
1,100,Nappies
2,101,Nappies
3,103,Nappies
4,102.5,Nappies
5,100,Nappies
6,95.7,Nappies
7,93,Nappies
8,92,Nappies
9,94,Nappies
10,97,Nappies
1,100,Pet Food
2,101,Pet Food
3,102,Pet Food
4,101,Pet Food
5,100,Pet Food
6,101,Pet Food
7,99,Pet Food
8,98,Pet Food
9,97.8,Pet Food
10,98,Pet Food
